,gender,age,marital_status,job_position,credit_sum,credit_month,tariff_id,score_shk,education,living_region,monthly_income,credit_count,overdue_credit_count,open_account_flg,month_payment,payment_income_part
89991,M,32.0,UNM,SPC,16373.86,12,1_6,0.580002,SCH,хпйсряйюъ,27000.0,4.0,0.0,1,1364.4883333333335,0.05053660493827161
80314,F,24.0,UNM,SPC,45598.0,10,1_1,0.422668,GRD,пнярнбяйюъ,33000.0,2.0,0.0,0,4559.8,0.1381757575757576
170119,M,31.0,UNM,SPC,5468.09,6,1_1,0.532001,SCH,люпхищк,25000.0,2.0,0.0,0,911.3483333333334,0.036453933333333334
152417,F,55.0,UNM,SPC,17982.0,12,1_17,0.500321,GRD,лняйбю,60000.0,1.0,0.0,0,1498.5,0.024975
20720,M,38.0,MAR,SPC,35957.0,10,1_32,0.272247,GRD,яюмйр-оерепаспц,50000.0,4.0,0.0,1,3595.7,0.07191399999999999
79964,M,28.0,UNM,SPC,24673.0,11,1_1,0.355823,GRD,рчлемяйюъ,28000.0,5.0,0.0,0,2243.0,0.08010714285714286
62309,M,32.0,MAR,UMN,56989.0,12,1_5,0.638146,SCH,ябепдкнбяйюъ,50000.0,3.0,0.0,0,4749.083333333333,0.09498166666666666
143057,F,38.0,MAR,UMN,57568.0,10,1_6,0.486951,GRD,йпюямнъпяйхи,65000.0,5.0,1.0,0,5756.8,0.08856615384615385
47263,M,32.0,MAR,SPC,18168.0,10,1_1,0.38254,GRD,йспяйюъ,25000.0,1.0,0.0,0,1816.8,0.072672
28144,M,59.0,MAR,SPC,19179.0,12,1_1,0.268764,SCH,яюмйр-оерепаспц,52300.0,-1.0,-1.0,0,1598.25,0.030559273422562143
14363,F,29.0,UNM,SPC,44991.0,10,1_16,0.37274,GRD,яюмйр-оерепаспц,80000.0,1.0,0.0,0,4499.1,0.056238750000000004
107348,M,36.0,MAR,SPC,18570.0,10,1_43,0.656767,SCH,ябепдкнбяйюъ,50000.0,1.0,0.0,0,1857.0,0.03714
92255,M,28.0,MAR,BIS,54392.0,6,1_9,0.214463,GRD,лняйбю,150000.0,4.0,0.0,0,9065.333333333334,0.06043555555555556
114909,F,33.0,MAR,SPC,16123.86,12,1_1,0.381583,SCH,йюпекхъ,27000.0,2.0,0.0,0,1343.655,0.049765
125885,F,24.0,UNM,SPC,15658.0,10,1_6,0.587022,SCH,ябепдкнбяйюъ,20000.0,0.0,0.0,1,1565.8,0.07829
121474,F,30.0,MAR,SPC,14580.0,12,1_1,0.516847,GRD,уюйюяхъ,27000.0,0.0,0.0,1,1215.0,0.045
86245,M,25.0,UNM,SPC,29258.0,12,1_43,0.587636,SCH,юпуюмцекэяйюъ,50000.0,1.0,0.0,0,2438.1666666666665,0.04876333333333333
125681,M,42.0,MAR,ATP,13987.0,10,1_43,0.575711,SCH,ябепдкнбяйюъ,35000.0,3.0,0.0,0,1398.7,0.03996285714285715
132441,F,47.0,MAR,SPC,9058.0,10,1_4,0.385235,SCH,пнярнбяйюъ,15000.0,3.0,0.0,0,905.8,0.060386666666666665
12549,M,51.0,MAR,SPC,30957.0,10,1_6,0.549137,SCH,ълюкн-мемежйхи,80000.0,2.0,1.0,0,3095.7,0.038696249999999995
